,full_name,pac,sho,pas,dri,def,phy,overall
211,Lucas Vázquez Iglesias,83,73,81,82,43,67,82
212,Saúl Ñíguez Esclápez,73,69,78,81,77,75,82
213,Felipe Augusto de Almeida Monteiro,68,41,59,61,83,81,82
214,Carlos Bacca,77,79,64,79,24,70,82
215,Franco Vázquez,64,77,80,83,43,76,82
216,Mateo Kovačić,81,69,82,85,61,71,82
217,Sergio Rico González,79,80,78,83,52,82,82
218,Manuel Trigueros Muñoz,73,74,80,81,65,69,82
219,Antonio Rüdiger,74,40,64,63,82,79,82
220,Florian Thauvin,82,76,78,84,36,63,82
221,Stefan Savić,63,35,52,56,83,74,82
222,Iñigo Martínez Berridi,71,56,63,61,82,79,82
223,Roque Mesa Quevedo,77,61,76,77,73,80,82
224,Alessandro Florenzi,85,79,78,82,76,76,82
225,Davy Klaassen,73,80,74,74,67,79,82
226,Karim Bellarabi,92,77,74,85,33,68,82
227,Raheem Sterling,93,71,74,85,46,61,82
228,Jesús Joaquín Fernández Sáez,82,75,81,87,23,51,82
229,Gerard Deulofeu Lázaro,93,70,75,88,26,61,82
230,Eric Dier,72,63,71,65,81,85,82
231,Marcos Rojo,71,59,69,68,81,83,82
232,Lucas Rodrigues M. Silva,93,74,75,86,45,62,82
233,Heung Min Son,86,83,75,83,25,66,82
234,Francesco Acerbi,62,50,58,58,85,77,82
235,Granit Xhaka,50,66,79,72,72,78,82
236,Jonathan Viera Ramos,81,75,81,86,53,68,82
237,Luis Miguel Afonso Fernandes,79,77,81,83,61,69,82
238,Willian José da Silva,67,82,65,76,37,77,82
239,Andriy Yarmolenko,81,78,81,83,37,78,82
240,Oliver Baumann,82,82,64,84,49,81,82
241,Gary Medel,74,48,68,70,81,81,82
242,Víctor Ruíz Torre,58,42,64,60,83,81,82
243,Xherdan Shaqiri,83,77,78,85,46,65,82
244,Juan Cuadrado,91,74,75,87,61,65,82
245,Douglas Costa de Souza,92,77,77,85,32,64,82
246,Nathaniel Clyne,83,61,71,77,80,76,82
247,Vicente Iborra de la Fuente,50,73,73,68,83,83,82
248,Victor Wanyama,64,66,70,74,82,91,82
249,Taison Barcellos Freda,92,79,75,86,47,63,82
250,Marlos Romero Bonfim,83,76,78,87,48,66,82
251,Lars Stindl,71,84,79,79,65,74,82
252,Mario Balotelli,80,83,70,79,26,77,82
253,Aaron Ramsey,68,75,79,81,65,75,82
254,Wojciech Szczęsny,83,77,74,87,49,78,82
255,Gylfi Sigurðsson,66,81,84,79,52,70,82
256,Yacine Brahimi,80,73,77,89,33,56,82
257,Marko Arnautović,77,74,79,81,53,81,82
258,Jordan Henderson,72,70,83,76,76,81,82
259,Max Kruse,71,84,82,82,39,69,82
260,Orestis Karnezis,80,83,70,84,39,80,82
261,Ljubomir Fejsa,53,57,66,68,81,85,82
262,Fernando Muslera,81,75,75,85,61,83,82
263,Vedran Ćorluka,58,51,67,66,82,83,82
264,Georginio Wijnaldum,81,75,76,84,66,74,82
265,Federico Fazio,30,41,54,54,84,81,82
266,Olivier Giroud,53,81,70,73,38,83,82
267,Branislav Ivanović,62,61,68,61,82,83,82
268,Javier Hernández,79,80,66,78,31,59,82
269,Beñat Etxebarria Urkiaga,58,75,84,75,66,74,82
270,Lars Bender,68,64,73,72,82,79,82
271,Axel Witsel,71,74,77,82,73,80,82
272,Kévin Gameiro,87,82,75,78,35,68,82
273,Claudio Bravo,80,80,87,81,56,77,82
274,Asmir Begović,81,81,73,82,55,79,82
275,Ronaldo Aparecido Rodrigues,69,69,63,61,84,73,82
276,Daniel Sturridge,76,82,69,79,25,68,82
277,Danny Rose,81,63,73,78,81,78,82
278,Carlos Vela,84,79,77,82,25,66,82
279,Emiliano Viviano,81,84,79,83,32,78,82
280,Gonzalo Castro,71,72,83,81,72,68,82
281,Samir Nasri,78,76,81,84,38,59,82
282,Ashley Williams,65,43,56,61,81,81,82
283,Leighton Baines,70,71,80,79,80,71,82
284,Andrea Consigli,82,83,72,84,40,81,82
285,João Filipe Moutinho,69,75,81,81,70,72,82
286,Benoît Costil,82,80,78,84,51,82,82
287,Raúl Albiol Tortajada,57,41,57,59,84,76,82
288,Joe Hart,81,78,75,83,60,80,82
289,Mario Gómez,72,82,62,73,28,78,82
290,Juan Francisco Torres Belén,82,58,75,77,78,77,82
291,Raffael Caetano de Araújo,72,79,80,86,41,67,82
292,Arda Turan,71,73,81,84,61,72,82
293,Fernando Luiz Rosa,73,73,76,78,77,78,82
294,David Villa Sánchez,69,83,74,82,31,69,82
295,Stephan Lichtsteiner,77,59,73,76,80,77,82
296,Rune Almenning Jarstein,78,81,72,85,43,87,82
297,Marcus Rashford,92,77,73,83,38,74,81
298,Gabriel Fernando de Jesus,87,79,71,87,26,67,81
299,Nélson Cabral Semedo,92,57,68,80,76,71,81
300,Gelson Dany Batalha Martins,94,70,73,86,44,60,81
301,Malcom Filipe Silva de Oliveira,83,76,78,84,26,63,81
302,Julian Weigl,70,50,76,76,76,68,81
303,Davinson Sánchez,71,47,50,59,81,83,81
304,Islam Slimani,69,77,67,72,47,85,81
305,Andrej Kramarić,73,81,70,84,26,71,81
306,Marcelo Brozović,73,73,79,81,68,69,81
307,Iñaki Williams Arthuer,93,78,73,79,34,79,81
308,Daniel Garcia Carrillo,48,58,74,71,73,80,81
309,Andreas Christensen,72,31,62,69,84,72,81
310,Joshua Kimmich,70,67,82,80,77,73,81
311,Armindo Tué Na Bangna,93,71,73,86,34,65,81
312,Domenico Berardi,85,80,76,84,30,72,81
313,Adrien Rabiot,70,72,78,78,73,77,81
314,Raphaël Guerreiro,77,75,81,84,74,63,81
315,Jamie Vardy,91,79,63,77,51,78,81
316,Hakim Ziyech,76,74,86,78,52,64,81
317,Michael Keane,72,49,64,68,82,82,81
318,Luiz Frello Filho Jorge,75,64,81,80,70,68,81
319,Héctor Bellerín Moruno,95,51,69,78,75,70,81
320,Jack Butland,81,83,72,85,41,78,81
321,Simone Zaza,79,80,59,77,38,83,81
322,Thomas Meunier,76,74,75,77,79,84,81
323,Felipe Anderson Pereira Gomes,92,75,77,86,53,62,81
324,Rafael Alcântara,74,77,79,85,62,64,81
325,José Ignacio Fernández Iglesias,76,37,65,63,81,78,81
326,Jasper Cillessen,79,83,74,77,52,81,81
327,Sergio Roberto Carnicer,77,64,80,76,79,72,81
328,Wissam Ben Yedder,83,79,75,85,34,63,81
329,Lucas Pérez Martínez,81,82,76,80,31,71,81
330,Ross Barkley,77,73,77,82,55,77,81
331,Cédric Bakambu,87,78,72,80,35,74,81
332,Wilfried Zaha,90,71,71,86,33,72,81
333,Marc Bartra Aregall,77,52,70,73,82,71,81
334,Serge Aurier,84,66,73,77,78,84,81
335,Sebastián Coates,58,40,53,60,81,86,81
336,Grzegorz Krychowiak,65,58,72,66,79,86,81
337,Kevin Kampl,80,68,77,84,58,62,81
338,Dejan Lovren,56,40,59,63,81,82,81
339,Younès Belhanda,75,77,79,84,56,70,81
340,Mário Figueira Fernandes,84,62,73,76,80,77,81
341,Ricardo Rodríguez,74,67,80,76,77,72,81
342,Jesús Corona,83,72,74,88,40,51,81
343,Mario Gaspar Pérez Martínez,81,70,70,73,80,81,81
344,Marcos Alonso Mendoza,77,69,77,77,77,80,81
345,Mario Götze,68,72,81,88,38,62,81
346,Lukáš Hrádecký,79,77,73,85,41,79,81
347,Asier Illarramendi,60,66,77,79,77,70,81
348,Oscar De Marcos Arana,86,62,73,78,74,79,81
349,Chris Smalling,72,46,56,59,81,83,81
350,Jack Wilshere,71,69,80,82,62,72,81
351,Sebastian Rudy,71,67,80,80,74,67,81
352,Manuel Lanzini,82,71,78,86,28,55,81
353,Kevin Trapp,80,76,77,84,49,83,81
354,Ryad Boudebouz,76,78,83,81,33,62,81
355,Ignacio Camacho Barnola,61,60,71,69,80,81,81
356,José Paulo Bezerra M. Júnior,76,74,74,77,77,76,81
357,Nikola Kalinić,73,79,64,75,35,76,81
358,Giuliano Victor de Paula,81,76,77,82,45,73,81
359,Diego Perotti,81,71,78,85,32,59,81
360,Marco Parolo,71,76,76,76,77,81,81
361,Konstantinos Mitroglou,58,81,64,72,19,83,81
362,Mamadou Sakho,61,33,62,56,80,85,81
363,Adil Rami,53,54,48,58,81,82,81
364,Stevan Jovetić,77,81,75,84,34,67,81
365,Séamus Coleman,73,66,72,78,80,77,81
366,Simon Kjær,64,55,64,53,81,81,81
367,Antonio Adán Garrido,80,83,72,82,55,81,81
368,Mathieu Valbuena,80,75,79,83,29,49,81
369,Simon Mignolet,80,76,65,84,56,78,81
370,Davide Astori,68,36,53,60,84,77,81
371,Kevin Mirallas,83,77,77,83,46,65,81
372,Andrés Guardado,76,64,80,82,66,68,81
373,Raúl García Escudero,57,77,81,76,68,76,81
374,Martin Škrtel,61,38,51,52,82,81,81
375,Steve Mandanda,86,78,75,83,48,77,81
376,Tom Heaton,80,79,76,83,54,80,81
377,Hatem Ben Arfa,76,77,77,86,35,69,81
378,Dante Bonfim Costa Santos,45,52,67,63,82,74,81
379,André-Pierre Gignac,72,83,72,73,39,82,81
380,Gabriel Fernández Arenas,64,73,79,76,75,73,81
381,Gonzalo Rodríguez,68,47,61,65,83,76,81
382,Darijo Srna,73,75,85,75,78,74,81
383,Bastian Schweinsteiger,39,75,81,73,74,75,81
384,Cédric Carrasso,78,79,81,81,40,79,81
385,Miguel Ángel Moyá Rumbo,85,78,82,79,39,81,81
386,Wayne Rooney,68,81,81,76,52,81,81
387,Per Mertesacker,27,41,55,47,85,70,81
388,Thiago Motta,32,64,76,67,76,82,81
389,Fernando José Torres Sanz,76,78,71,79,25,69,81
390,Samuel Eto'o,74,83,74,79,37,71,81
391,Sergej Milinković-Savić,71,71,73,79,73,83,80
392,Youri Tielemans,53,79,80,77,68,71,80
393,Jemerson de Jesus Nascimento,63,35,51,59,81,75,80
394,Ángel Correa,82,80,66,86,49,59,80
395,Nabil Bentaleb,67,71,77,81,70,72,80
396,Alisson Ramses Becker,75,76,70,86,39,78,80
397,Alex Nicolao Telles,83,62,77,78,75,74,80
398,Julian Brandt,81,73,76,84,26,61,80
399,Kerem Demirbay,68,73,79,82,53,71,80
400,Daniele Rugani,61,39,53,64,83,75,80
401,Morgan Sanson,76,75,80,80,74,77,80
402,Samuel Castillejo Azuaga,86,67,79,82,37,48,80
403,Piotr Zieliński,83,69,79,83,62,60,80
404,Ricardo D. Barbosa Pereira,88,62,77,81,77,70,80
405,Alejandro Grimaldo García,86,60,72,82,75,72,80
406,Frederico R. de Paula Santos,82,70,76,82,71,63,80
407,Jonas Hector,77,60,76,75,79,77,80
408,Emre Can,71,67,77,77,78,84,80
409,Gerard Moreno Balagueró,82,78,65,76,45,65,80
410,Sead Kolašinac,78,53,61,64,78,89,80
411,Leandro Paredes,72,67,81,79,70,73,80
412,Kepa Arrizabalaga,78,81,75,83,33,76,80
413,Alassane Pléa,82,80,75,77,41,76,80
414,Taras Stepanenko,67,61,72,69,79,80,80
415,Oleg Shatov,88,73,76,82,47,68,80
416,Leonardo Carrilho Baptistão,79,77,69,80,28,64,80
417,Matija Nastasić,70,31,58,50,82,75,80
418,Denis Suárez Fernández,79,74,81,84,51,58,80
419,Michy Batshuayi,79,80,59,77,27,74,80
420,John Brooks,74,39,57,63,81,77,80
421,Šime Vrsaljko,83,55,73,75,78,78,80
422,Eric Fernando Botteghin,34,36,48,49,82,83,80
423,Loris Karius,84,74,74,85,50,76,80
424,Thorgan Hazard,81,79,80,85,37,64,80
425,Valère Germain,78,80,75,79,31,68,80
426,Layvin Kurzawa,77,69,77,78,77,75,80
427,Faouzi Ghoulam,80,64,72,75,76,78,80
428,Josip Iličić,70,82,80,81,35,64,80
429,Kevin Volland,77,81,78,79,39,82,80
430,Allan Marques Loureiro,77,64,75,78,79,81,80
431,Pablo Hernández,71,71,75,78,64,79,80
432,Dušan Tadić,70,67,80,83,37,63,80
433,Luis Muriel,89,77,68,85,25,72,80
434,Pablo Sarabia García,76,73,80,83,30,53,80
435,Alex Oxlade-Chamberlain,88,70,74,84,52,71,80
436,Josuha Guilavogui,70,59,66,67,81,81,80
437,Oğuzhan Özyakup,75,74,83,80,59,69,80
438,Yaroslav Rakitskyi,72,68,76,72,81,78,80
439,Phil Jones,61,56,65,62,80,80,80
440,Sergi Enrich Ametller,66,77,69,75,42,80,80
441,Norberto Murara Neto,84,80,74,83,51,74,80
442,Hugo Mallo Novegil,74,40,70,74,77,76,80
443,Daniel Didavi,77,81,76,81,52,72,80
444,Roberto Soriano,77,77,80,81,63,73,80
445,André Schürrle,83,82,74,80,38,70,80
446,Maxime Gonalons,66,61,69,69,80,81,80
447,Alphonse Areola,82,78,70,84,53,75,80
448,Roberto Pereyra,78,68,80,81,66,68,80
449,Kevin Vogt,76,57,69,67,79,80,80
450,Fabián Orellana,80,73,76,83,32,50,80
451,Alexandr Kokorin,84,77,71,81,44,72,80
452,Maicon Pereira Roque,63,55,65,54,81,83,80
453,Eduardo Salvio,87,74,74,80,44,70,80
454,Daley Blind,60,56,79,76,80,76,80
455,Stephan El Shaarawy,87,75,70,84,31,58,80
456,Michail Antonio,85,74,70,81,52,82,80
457,Iago Falqué Silva,79,72,78,84,35,57,80
458,Ander Iturraspe Derteano,59,64,75,70,79,73,80
459,Salomón Rondón,75,77,56,74,31,80,80
460,Daniel Filipe Martins Carriço,57,53,68,63,80,78,80
461,Marcel Schmelzer,80,51,69,66,79,79,80
462,James McCarthy,70,60,75,74,77,81,80
463,Alan Dzagoev,77,74,78,78,71,70,80
464,Paulo Henrique Chagas de Lima,35,75,85,81,38,63,80
465,Fedor Smolov,87,80,70,76,32,73,80
466,Danny Welbeck,84,74,71,79,37,78,80
467,Luiz Gustavo Dias,64,59,68,69,80,80,80
468,Mikel San José Domínguez,43,70,70,70,79,78,80
469,Matteo Darmian,77,58,69,75,80,73,80
470,Romain Thomas,54,34,58,47,80,76,80
471,Christian Benteke,73,78,65,73,33,80,80
472,Ibrahima Traoré,88,72,77,84,39,56,80
473,Sidnei Rechel da Silva Júnior,51,50,59,68,80,81,80
474,Jeremain Lens,89,76,76,81,32,71,80
475,Eder Citadin Martins,85,80,73,83,25,63,80
476,Francisco Casilla Cortés,75,83,80,77,41,82,80
477,Ignacio Monreal Eraso,76,53,72,75,80,74,80
478,Sven Bender,70,51,61,60,82,80,80
479,Augusto Fernández,69,70,77,79,68,75,80
480,Marcus Berg,75,79,63,74,29,71,80
481,Ignacio Piatti,77,81,73,85,52,74,80
482,Valter Birsa,75,73,80,82,49,72,80
483,Pedro León Sánchez Gil,67,76,83,82,40,62,80
484,Kevin-Prince Boateng,73,77,77,79,67,78,80
485,Iván Marcano Sierra,68,45,59,59,81,78,80
486,Héctor Moreno,66,49,65,62,81,75,80
487,Sergio Romero,78,76,81,82,45,78,80
488,Antonio Candreva,78,80,77,81,56,71,80
489,Domenico Criscito,77,61,75,72,78,79,80
490,Daniel Wass,75,73,80,79,66,71,80
491,Jonathan dos Santos,66,68,82,81,59,67,80
492,Erik Lamela,76,77,79,82,45,67,80
493,Ryan Bertrand,79,53,71,77,79,75,80
494,Renato Augusto,67,73,80,82,66,70,80
495,Jardel Nivaldo Vieira,60,42,52,51,81,82,80
496,Vitaliy Denisov,83,51,67,71,79,79,80
497,Dušan Basta,76,67,71,76,80,76,80
498,Gustavo Cabral,42,31,56,56,81,78,80
499,Gabriel Paletta,51,33,42,54,83,82,80
500,Theo Walcott,91,75,72,80,38,66,80
501,Łukasz Fabiański,77,84,70,84,48,78,80
502,Ben Foster,79,79,73,84,49,77,80
503,Vedad Ibišević,53,80,68,72,31,76,80
504,Karim El Ahmadi,65,62,74,76,72,78,80
505,Salomon Kalou,68,78,73,85,33,62,80
506,Manuel H. Tavares Fernandes,79,76,79,83,66,71,80
507,Andreas Granqvist,48,58,59,55,82,78,80
508,Lukas Podolski,78,84,75,77,39,74,80
509,Javier Fuego Martínez,56,60,72,67,78,78,80
510,Fernando Belluschi,70,75,81,79,59,69,80
511,Antonio Mirante,82,80,64,82,43,78,80
512,Vincent Enyeama,76,78,73,86,51,77,80
513,Federico Marchetti,80,78,66,84,52,78,80
514,Ricardo Izecson dos Santos Leite,62,76,79,78,30,58,80
515,James Milner,67,74,82,77,76,78,80
516,Atiba Hutchinson,69,65,75,75,77,79,80
517,Mehmet Topal,68,66,67,73,82,80,80
518,Jérémy Mathieu,72,62,67,60,81,83,80
519,Carlos Idriss Kameni,84,82,74,80,45,76,80
520,Phil Jagielka,50,46,58,55,82,78,80
521,Jermain Defoe,74,85,61,79,25,65,80
